,gender,race,age,education,church_goer,patriotism,health_insurance,discuss_politics,political_interest,ideology,pid3,pid7,voted,votechoice,obama_muslim,climate_change,cc_caused_by_man,same_sex_wedding,econ_health,birthright_citizenship,build_wall,affirmative_action,corrupt_government,bathroom_policy,gay_marriage,death_penalty,rel_important,rel_daily_guidance,rel_bible_word,rel_attend_church,happy_life
2144,2,5,50,14,2,4,1,1,1,2,3,3,1,1,2,1,1,2,3,2,2,1,2,2,1,2,2,-1,3,-1,3
2145,2,1,66,12,1,1,1,1,2,3,2,7,-2,-2,1,1,2,1,3,1,2,2,3,1,1,1,1,3,1,-1,3
2146,2,1,46,11,2,4,1,1,2,1,1,2,1,1,2,1,1,1,4,3,2,3,2,2,1,1,2,-1,3,-1,2
2147,1,1,35,12,2,1,1,1,2,3,3,3,0,-2,1,1,3,1,3,1,2,1,3,2,1,1,1,1,2,-1,2
2148,2,1,-9,10,-9,4,1,1,-9,-9,-9,-9,1,2,-9,-9,-9,-9,3,3,2,3,-9,-9,-9,-9,-9,-1,-9,-1,-9
2149,1,1,52,10,2,1,1,1,2,4,3,4,1,1,1,1,3,1,3,3,1,1,2,2,2,1,2,-1,3,-1,2
2150,2,1,70,9,2,-6,1,-6,-6,99,2,6,-2,-2,-6,1,3,2,4,1,3,3,3,2,1,1,1,2,2,-1,3
2151,2,1,33,14,1,4,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,3,2,2,1,2,2,-1,3,-1,4
2152,2,2,78,11,1,1,1,1,3,3,1,1,1,1,1,2,3,1,3,2,3,1,4,1,3,2,1,2,1,-1,2
2153,2,1,42,12,1,1,1,2,3,4,2,6,0,-2,1,1,3,2,4,1,1,2,2,2,1,1,2,-1,2,-1,4
2154,2,1,18,9,1,4,1,1,2,3,3,3,1,1,2,1,1,2,3,2,2,2,2,2,1,2,1,3,2,-1,3
2155,2,3,21,9,2,-6,1,-6,-6,2,1,1,-2,-2,-6,1,1,2,3,2,2,2,3,2,1,2,2,-1,3,-1,3
2156,1,1,60,10,2,4,1,1,2,2,5,4,-2,-2,2,1,3,2,4,1,2,2,2,1,1,2,2,-1,3,-1,4
2157,2,5,58,9,1,1,1,1,2,6,2,6,1,2,2,1,1,2,5,1,1,2,4,1,2,1,1,3,3,-1,1
